"Países (não mexer)";"Código da timezone (não mexer";"Coloque aqui o nome que você quer que apareça separado por vírgula";"UTC (não mexer)"
"CI, BF, GH, GM, GN, IS, ML, MR, SH, SL, SN, TG";"Africa/Abidjan";"Abidjan";"+00:00"
"BR";"America/Sao_Paulo";"Horário oficial de Brasília";"−03:00"
"BR";"America/Sao_Paulo";"Acre";"−03:00"
"BR";"America/Rio_Branco";"Acre (Porto Acre)";"−05:00"
"AU";"Australia/ACT";"ACT";"+10:00"
"US";"America/Adak";"Adak";"−10:00"
"AU";"Australia/Adelaide";"Adelaide";"+09:30"
"BR";"America/Sao_Paulo";"Alagoas";"−03:00"
"US";"US/Alaska";"Alaska";"−09:00"
"US";"US/Aleutian";"Aleutian";"−10:00"
"DZ";"Africa/Algiers";"Algiers";"+01:00"
"KZ";"Asia/Almaty";"Almaty";"+06:00"
"BR";"America/Sao_Paulo";"Amapá";"−03:00"
"BR";"America/Sao_Paulo";"Amazonas";"−03:00"
"BR";"America/Eirunepe";"Amazonas (Eirunepe)";"−05:00"
"BR";"America/Manaus";"Amazonas (Manaus)";"−04:00"
"BR";"America/Rio_Branco";"Amazonas (Tabatinga)";"−05:01"
"JO";"Asia/Amman";"Amman";"+03:00"
"RU";"Asia/Anadyr";"Anadyr";"+12:00"
"US";"America/Anchorage";"Anchorage";"−09:00"
"AD";"Europe/Andorra";"Andorra";"+01:00"
"WS";"Pacific/Apia";"Apia";"+13:00"
"KZ";"Asia/Aqtau";"Aqtau";"+05:00"
"KZ";"Asia/Aqtobe";"Aqtobe";"+05:00"
"US";"US/Arizona";"Arizona";"−07:00"
"TM";"Asia/Ashgabat";"Ashgabat";"+05:00"
"TM";"Asia/Ashkhabad";"Ashkhabad";"+05:00"
"ER";"Africa/Asmera";"Asmera";"+03:00"
"RU";"Europe/Astrakhan";"Astrakhan";"+04:00"
"PY";"America/Asuncion";"Asuncion";"−04:00"
"GR";"Europe/Athens";"Athens";"+02:00"
"US";"America/Atka";"Atka";"−10:00"
"CA";"Canada/Atlantic";"Atlantic";"−04:00"
"KZ";"Asia/Atyrau";"Atyrau";"+05:00"
"NZ, AQ";"Pacific/Auckland";"Auckland";"+12:00"
"PT";"Atlantic/Azores";"Azores";"−01:00"
"IQ";"Asia/Baghdad";"Baghdad";"+03:00"
"BR";"America/Sao_Paulo";"Bahia";"−03:00"
"MX";"America/Bahia_Banderas";"Bahia_Banderas";"−06:00"
"MX";"Mexico/BajaNorte";"BajaNorte";"−08:00"
"MX";"Mexico/BajaSur";"BajaSur";"−07:00"
"AZ";"Asia/Baku";"Baku";"+04:00"
"TH, CX, KH, LA, VN";"Asia/Bangkok";"Bangkok";"+07:00"
"BB";"America/Barbados";"Barbados";"−04:00"
"RU";"Asia/Barnaul";"Barnaul";"+07:00"
"LB";"Asia/Beirut";"Beirut";"+02:00"
"RS, BA, HR, ME, MK, SI";"Europe/Belgrade";"Belgrade";"+01:00"
"BZ";"America/Belize";"Belize";"−06:00"
"DE, DK, NO, SE, SJ";"Europe/Berlin";"Berlin";"+01:00"
"BM";"Atlantic/Bermuda";"Bermuda";"−04:00"
"US";"America/North_Dakota/Beulah";"Beulah";"−06:00"
"KG";"Asia/Bishkek";"Bishkek";"+06:00"
"GW";"Africa/Bissau";"Bissau";"+00:00"
"CO";"America/Bogota";"Bogota";"−05:00"
"US";"America/Boise";"Boise";"−07:00"
"PG";"Pacific/Bougainville";"Bougainville";"+11:00"
"SK";"Europe/Bratislava";"Bratislava";"+01:00"
"AU";"Australia/Brisbane";"Brisbane";"+10:00"
"AU";"Australia/Broken_Hill";"Broken_Hill";"+09:30"
"BE, LU, NL";"Europe/Brussels";"Brussels";"+01:00"
"RO";"Europe/Bucharest";"Bucharest";"+02:00"
"HU";"Europe/Budapest";"Budapest";"+01:00"
"AR";"America/Argentina/Buenos_Aires";"Buenos_Aires";"−03:00"
"AR";"America/Buenos_Aires";"Buenos_Aires";"−03:00"
"DE";"Europe/Busingen";"Busingen";"+01:00"
"EG";"Africa/Cairo";"Cairo";"+02:00"
"IN";"Asia/Calcutta";"Calcutta";"+05:30"
"CA";"America/Cambridge_Bay";"Cambridge_Bay";"−07:00"
"ES";"Atlantic/Canary";"Canary";"+00:00"
"AU";"Australia/Canberra";"Canberra";"+10:00"
"MX";"America/Cancun";"Cancun";"−05:00"
"CV";"Atlantic/Cape_Verde";"Cape_Verde";"−01:00"
"VE";"America/Caracas";"Caracas";"−04:00"
"MA";"Africa/Casablanca";"Casablanca";"+01:00"
"AQ";"Antarctica/Casey";"Casey";"+11:00"
"AR";"America/Argentina/Catamarca";"Catamarca";"−03:00"
"AR";"America/Catamarca";"Catamarca";"−03:00"
"GF";"America/Cayenne";"Cayenne";"−03:00"
"BR";"America/Sao_Paulo";"Ceará";"−03:00"
"US";"America/North_Dakota/Center";"Center";"−06:00"
"CA";"Canada/Central";"Central";"−06:00"
"US";"US/Central";"Central";"−06:00"
"ES";"Africa/Ceuta";"Ceuta";"+01:00"
"IO";"Indian/Chagos";"Chagos";"+06:00"
"NZ";"Pacific/Chatham";"Chatham";"+12:45"
"US";"America/Chicago";"Chicago";"−06:00"
"MX";"America/Chihuahua";"Chihuahua";"−06:00"
"MD";"Europe/Chisinau";"Chisinau";"+02:00"
"RU";"Asia/Chita";"Chita";"+09:00"
"MN";"Asia/Choibalsan";"Choibalsan";"+08:00"
"CN";"Asia/Chungking";"Chungking";"+08:00"
"MX";"America/Ciudad_Juarez";"Ciudad_Juarez";"−07:00"
"LK";"Asia/Colombo";"Colombo";"+05:30"
"CL";"Chile/Continental";"Continental";"−04:00"
"AR";"America/Argentina/Cordoba";"Cordoba";"−03:00"
"AR";"America/Cordoba";"Cordoba";"−03:00"
"CR";"America/Costa_Rica";"Costa_Rica";"−06:00"
"CU";"Cuba";"Cuba";"−05:00"
"BD";"Asia/Dacca";"Dacca";"+06:00"
"SY";"Asia/Damascus";"Damascus";"+03:00"
"GL";"America/Danmarkshavn";"Danmarkshavn";"+00:00"
"AU";"Australia/Darwin";"Darwin";"+09:30"
"AQ";"Antarctica/Davis";"Davis";"+07:00"
"CA";"America/Dawson";"Dawson";"−07:00"
"CA";"America/Dawson_Creek";"Dawson_Creek";"−07:00"
"US";"America/Denver";"Denver";"−07:00"
"US";"America/Detroit";"Detroit";"−05:00"
"BD";"Asia/Dhaka";"Dhaka";"+06:00"
"TL";"Asia/Dili";"Dili";"+09:00"
"BR";"America/Sao_Paulo";"Distrito Federal";"−03:00"
"AE, OM, RE, SC, TF";"Asia/Dubai";"Dubai";"+04:00"
"IE";"Europe/Dublin";"Dublin";"+01:00"
"TJ";"Asia/Dushanbe";"Dushanbe";"+05:00"
"US";"US/East-Indiana";"East-Indiana";"−05:00"
"CL";"Pacific/Easter";"Easter";"−06:00"
"CL";"Chile/EasterIsland";"EasterIsland";"−06:00"
"CA";"Canada/Eastern";"Eastern";"−05:00"
"US";"US/Eastern";"Eastern";"−05:00"
"CA";"America/Edmonton";"Edmonton";"−07:00"
"VU";"Pacific/Efate";"Efate";"+11:00"
"EG";"Egypt";"Egypt";"+02:00"
"IE";"Eire";"Eire";"+01:00"
"EH";"Africa/El_Aaiun";"El_Aaiun";"+01:00"
"SV";"America/El_Salvador";"El_Salvador";"−06:00"
"BR";"America/Sao_Paulo";"Espírito Santo";"−03:00"
"AU";"Australia/Eucla";"Eucla";"+08:45"
"FO";"Atlantic/Faeroe";"Faeroe";"+00:00"
"TK";"Pacific/Fakaofo";"Fakaofo";"+13:00"
"CY";"Asia/Famagusta";"Famagusta";"+02:00"
"FO";"Atlantic/Faroe";"Faroe";"+00:00"
"BR";"America/Noronha";"Fernando de Noronha";"−02:00"
"FJ";"Pacific/Fiji";"Fiji";"+12:00"
"CA";"America/Fort_Nelson";"Fort_Nelson";"−07:00"
"US";"America/Fort_Wayne";"Fort_Wayne";"−05:00"
"EC";"Pacific/Galapagos";"Galapagos";"−06:00"
"PF";"Pacific/Gambier";"Gambier";"−09:00"
"PS";"Asia/Gaza";"Gaza";"+02:00"
"GB";"GB";"GB";"+00:00"
"GB";"GB-Eire";"GB-Eire";"+00:00"
"MX";"Mexico/General";"General";"−06:00"
"GI";"Europe/Gibraltar";"Gibraltar";"+01:00"
"CA";"America/Glace_Bay";"Glace_Bay";"−04:00"
"GL";"America/Godthab";"Godthab";"−02:00"
"BR";"America/Sao_Paulo";"Goiás";"−03:00"
"CA";"America/Goose_Bay";"Goose_Bay";"−04:00"
"TC";"America/Grand_Turk";"Grand_Turk";"−05:00"
"SB, FM";"Pacific/Guadalcanal";"Guadalcanal";"+11:00"
"GU, MP";"Pacific/Guam";"Guam";"+10:00"
"GT";"America/Guatemala";"Guatemala";"−06:00"
"EC";"America/Guayaquil";"Guayaquil";"−05:00"
"GY";"America/Guyana";"Guyana";"−04:00"
"CA";"America/Halifax";"Halifax";"−04:00"
"CU";"America/Havana";"Havana";"−05:00"
"US";"US/Hawaii";"Hawaii";"−10:00"
"PS";"Asia/Hebron";"Hebron";"+02:00"
"FI, AX";"Europe/Helsinki";"Helsinki";"+02:00"
"MX";"America/Hermosillo";"Hermosillo";"−07:00"
"VN";"Asia/Ho_Chi_Minh";"Ho_Chi_Minh";"+07:00"
"AU";"Australia/Hobart";"Hobart";"+10:00"
"HK";"Asia/Hong_Kong";"Hong_Kong";"+08:00"
"HK";"Hongkong";"Hongkong";"+08:00"
"US";"Pacific/Honolulu";"Honolulu";"−10:00"
"MN";"Asia/Hovd";"Hovd";"+07:00"
"IS";"Iceland";"Iceland";"+00:00"
"US";"US/Indiana-Starke";"Indiana-Starke";"−06:00"
"US";"America/Indiana/Indianapolis";"Indianapolis";"−05:00"
"US";"America/Indianapolis";"Indianapolis";"−05:00"
"CA";"America/Inuvik";"Inuvik";"−07:00"
"CA";"America/Iqaluit";"Iqaluit";"−05:00"
"IR";"Iran";"Iran";"+03:30"
"RU";"Asia/Irkutsk";"Irkutsk";"+08:00"
"IL";"Israel";"Israel";"+02:00"
"TR";"Asia/Istanbul";"Istanbul";"+03:00"
"TR";"Europe/Istanbul";"Istanbul";"+03:00"
"ID";"Asia/Jakarta";"Jakarta";"+07:00"
"JM";"America/Jamaica";"Jamaica";"−05:00"
"JM";"Jamaica";"Jamaica";"−05:00"
"JP";"Japan";"Japan";"+09:00"
"ID";"Asia/Jayapura";"Jayapura";"+09:00"
"IL";"Asia/Jerusalem";"Jerusalem";"+02:00"
"ZA, LS, SZ";"Africa/Johannesburg";"Johannesburg";"+02:00"
"SS";"Africa/Juba";"Juba";"+02:00"
"AR";"America/Argentina/Jujuy";"Jujuy";"−03:00"
"AR";"America/Jujuy";"Jujuy";"−03:00"
"US";"America/Juneau";"Juneau";"−09:00"
"AF";"Asia/Kabul";"Kabul";"+04:30"
"RU";"Europe/Kaliningrad";"Kaliningrad";"+02:00"
"RU";"Asia/Kamchatka";"Kamchatka";"+12:00"
"KI";"Pacific/Kanton";"Kanton";"+13:00"
"PK";"Asia/Karachi";"Karachi";"+05:00"
"NP";"Asia/Kathmandu";"Kathmandu";"+05:45"
"NP";"Asia/Katmandu";"Katmandu";"+05:45"
"RU";"Asia/Khandyga";"Khandyga";"+09:00"
"SD";"Africa/Khartoum";"Khartoum";"+02:00"
"UA";"Europe/Kiev";"Kiev";"+02:00"
"KI";"Pacific/Kiritimati";"Kiritimati";"+14:00"
"RU";"Europe/Kirov";"Kirov";"+03:00"
"US";"America/Indiana/Knox";"Knox";"−06:00"
"US";"America/Knox_IN";"Knox_IN";"−06:00"
"IN";"Asia/Kolkata";"Kolkata";"+05:30"
"FM";"Pacific/Kosrae";"Kosrae";"+11:00"
"BQ";"America/Kralendijk";"Kralendijk";"−04:00"
"RU";"Asia/Krasnoyarsk";"Krasnoyarsk";"+07:00"
"MY, BN";"Asia/Kuching";"Kuching";"+08:00"
"MH";"Kwajalein";"Kwajalein";"+12:00"
"MH";"Pacific/Kwajalein";"Kwajalein";"+12:00"
"UA";"Europe/Kyiv";"Kyiv";"+02:00"
"BO";"America/La_Paz";"La_Paz";"−04:00"
"AR";"America/Argentina/La_Rioja";"La_Rioja";"−03:00"
"NG, AO, BJ, CD, CF, CG, CM, GA, GQ, NE";"Africa/Lagos";"Lagos";"+01:00"
"AU";"Australia/LHI";"LHI";"+10:30"
"LY";"Libya";"Libya";"+02:00"
"PE";"America/Lima";"Lima";"−05:00"
"AU";"Australia/Lindeman";"Lindeman";"+10:00"
"PT";"Europe/Lisbon";"Lisbon";"+00:00"
"GB, GG, IM, JE";"Europe/London";"London";"+00:00"
"SJ";"Arctic/Longyearbyen";"Longyearbyen";"+01:00"
"AU";"Australia/Lord_Howe";"Lord_Howe";"+10:30"
"US";"America/Los_Angeles";"Los_Angeles";"−08:00"
"US";"America/Kentucky/Louisville";"Louisville";"−05:00"
"US";"America/Louisville";"Louisville";"−05:00"
"SX";"America/Lower_Princes";"Lower_Princes";"−04:00"
"MO";"Asia/Macao";"Macao";"+08:00"
"MO";"Asia/Macau";"Macau";"+08:00"
"AU";"Antarctica/Macquarie";"Macquarie";"+10:00"
"PT";"Atlantic/Madeira";"Madeira";"+00:00"
"ES";"Europe/Madrid";"Madrid";"+01:00"
"RU";"Asia/Magadan";"Magadan";"+11:00"
"ID";"Asia/Makassar";"Makassar";"+08:00"
"MV, TF";"Indian/Maldives";"Maldives";"+05:00"
"MT";"Europe/Malta";"Malta";"+01:00"
"NI";"America/Managua";"Managua";"−06:00"
"PH";"Asia/Manila";"Manila";"+08:00"
"MZ, BI, BW, CD, MW, RW, ZM, ZW";"Africa/Maputo";"Maputo";"+02:00"
"BR";"America/Sao_Paulo";"Maranhão";"−03:00"
"US";"America/Indiana/Marengo";"Marengo";"−05:00"
"AX";"Europe/Mariehamn";"Mariehamn";"+02:00"
"MF";"America/Marigot";"Marigot";"−04:00"
"PF";"Pacific/Marquesas";"Marquesas";"−09:30"
"MQ";"America/Martinique";"Martinique";"−04:00"
"MX";"America/Matamoros";"Matamoros";"−06:00"
"BR";"America/Cuiaba";"Mato Grosso";"−04:00"
"BR";"America/Sao_Paulo";"Mato Grosso";"−03:00"
"BR";"America/Campo_Grande";"Mato Grosso do Sul";"−04:00"
"BR";"America/Sao_Paulo";"Mato Grosso do Sul";"−03:00"
"MU";"Indian/Mauritius";"Mauritius";"+04:00"
"AQ";"Antarctica/Mawson";"Mawson";"+05:00"
"MX";"America/Mazatlan";"Mazatlan";"−07:00"
"AU";"Australia/Melbourne";"Melbourne";"+10:00"
"AR";"America/Argentina/Mendoza";"Mendoza";"−03:00"
"AR";"America/Mendoza";"Mendoza";"−03:00"
"US";"America/Menominee";"Menominee";"−06:00"
"MX";"America/Merida";"Merida";"−06:00"
"US";"America/Metlakatla";"Metlakatla";"−09:00"
"MX";"America/Mexico_City";"Mexico_City";"−06:00"
"US";"US/Michigan";"Michigan";"−05:00"
"BR";"America/Sao_Paulo";"Minas Gerais";"−03:00"
"BY";"Europe/Minsk";"Minsk";"+03:00"
"PM";"America/Miquelon";"Miquelon";"−03:00"
"CA";"America/Moncton";"Moncton";"−04:00"
"LR";"Africa/Monrovia";"Monrovia";"+00:00"
"MX";"America/Monterrey";"Monterrey";"−06:00"
"UY";"America/Montevideo";"Montevideo";"−03:00"
"US";"America/Kentucky/Monticello";"Monticello";"−05:00"
"RU";"Europe/Moscow";"Moscow";"+03:00"
"CA";"Canada/Mountain";"Mountain";"−07:00"
"US";"US/Mountain";"Mountain";"−07:00"
"KE, DJ, ER, ET, KM, MG, SO, TZ, UG, YT";"Africa/Nairobi";"Nairobi";"+03:00"
"NR";"Pacific/Nauru";"Nauru";"+12:00"
"US";"Navajo";"Navajo";"−07:00"
"TD";"Africa/Ndjamena";"Ndjamena";"+01:00"
"US";"America/North_Dakota/New_Salem";"New_Salem";"−06:00"
"US";"America/New_York";"New_York";"−05:00"
"CA";"Canada/Newfoundland";"Newfoundland";"−03:30"
"CY";"Asia/Nicosia";"Nicosia";"+02:00"
"CY";"Europe/Nicosia";"Nicosia";"+02:00"
"NU";"Pacific/Niue";"Niue";"−11:00"
"US";"America/Nome";"Nome";"−09:00"
"NF";"Pacific/Norfolk";"Norfolk";"+11:00"
"AU";"Australia/North";"North";"+09:30"
"NC";"Pacific/Noumea";"Noumea";"+11:00"
"RU";"Asia/Novokuznetsk";"Novokuznetsk";"+07:00"
"RU";"Asia/Novosibirsk";"Novosibirsk";"+07:00"
"AU";"Australia/NSW";"NSW";"+10:00"
"GL";"America/Nuuk";"Nuuk";"−02:00"
"NZ";"NZ";"NZ";"+12:00"
"NZ";"NZ-CHAT";"NZ-CHAT";"+12:45"
"MX";"America/Ojinaga";"Ojinaga";"−06:00"
"RU";"Asia/Omsk";"Omsk";"+06:00"
"KZ";"Asia/Oral";"Oral";"+05:00"
"CA";"Canada/Pacific";"Pacific";"−08:00"
"US";"US/Pacific";"Pacific";"−08:00"
"AS, UM";"Pacific/Pago_Pago";"Pago_Pago";"−11:00"
"PW";"Pacific/Palau";"Palau";"+09:00"
"AQ";"Antarctica/Palmer";"Palmer";"−03:00"
"PA, CA, KY";"America/Panama";"Panama";"−05:00"
"BR";"America/Sao_Paulo";"Pará";"−03:00"
"BR";"America/Sao_Paulo";"Paraíba";"−03:00"
"SR";"America/Paramaribo";"Paramaribo";"−03:00"
"BR";"America/Sao_Paulo";"Paraná";"−03:00"
"FR, MC";"Europe/Paris";"Paris";"+01:00"
"BR";"America/Sao_Paulo";"Pernambuco";"−03:00"
"AU";"Australia/Perth";"Perth";"+08:00"
"US";"America/Indiana/Petersburg";"Petersburg";"−05:00"
"US, CA";"America/Phoenix";"Phoenix";"−07:00"
"BR";"America/Sao_Paulo";"Piauí";"−03:00"
"PN";"Pacific/Pitcairn";"Pitcairn";"−08:00"
"ME";"Europe/Podgorica";"Podgorica";"+01:00"
"PL";"Poland";"Poland";"+01:00"
"FM";"Pacific/Ponape";"Ponape";"+11:00"
"ID";"Asia/Pontianak";"Pontianak";"+07:00"
"PG, AQ, FM";"Pacific/Port_Moresby";"Port_Moresby";"+10:00"
"HT";"America/Port-au-Prince";"Port-au-Prince";"−05:00"
"PT";"Portugal";"Portugal";"+00:00"
"CZ, SK";"Europe/Prague";"Prague";"+01:00"
"CN";"PRC";"PRC";"+08:00"
"PR, AG, CA, AI, AW, BL, BQ, CW, DM, GD, GP, KN, LC, MF, MS, SX, TT, VC, VG, VI";"America/Puerto_Rico";"Puerto_Rico";"−04:00"
"CL";"America/Punta_Arenas";"Punta_Arenas";"−03:00"
"KP";"Asia/Pyongyang";"Pyongyang";"+09:00"
"QA, BH";"Asia/Qatar";"Qatar";"+03:00"
"KZ";"Asia/Qostanay";"Qostanay";"+06:00"
"AU";"Australia/Queensland";"Queensland";"+10:00"
"KZ";"Asia/Qyzylorda";"Qyzylorda";"+05:00"
"MM";"Asia/Rangoon";"Rangoon";"+06:30"
"CA";"America/Rankin_Inlet";"Rankin_Inlet";"−06:00"
"CK";"Pacific/Rarotonga";"Rarotonga";"−10:00"
"CA";"America/Regina";"Regina";"−06:00"
"CA";"America/Resolute";"Resolute";"−06:00"
"LV";"Europe/Riga";"Riga";"+02:00"
"BR";"America/Sao_Paulo";"Rio de Janeiro";"−03:00"
"BR";"America/Sao_Paulo";"Rio Grande do Norte";"−03:00"
"BR";"America/Sao_Paulo";"Rio Grande do Sul";"−03:00"
"AR";"America/Argentina/Rio_Gallegos";"Rio_Gallegos";"−03:00"
"SA, AQ, KW, YE";"Asia/Riyadh";"Riyadh";"+03:00"
"TW";"ROC";"ROC";"+08:00"
"KR";"ROK";"ROK";"+09:00"
"IT, SM, VA";"Europe/Rome";"Rome";"+01:00"
"BR";"America/Porto_Velho";"Rondônia";"−04:00"
"BR";"America/Sao_Paulo";"Rondônia";"−03:00"
"BR";"America/Boa_Vista";"Roraima";"−04:00"
"AQ";"Antarctica/Rothera";"Rothera";"−03:00"
"VN";"Asia/Saigon";"Saigon";"+07:00"
"RU";"Asia/Sakhalin";"Sakhalin";"+11:00"
"AR";"America/Argentina/Salta";"Salta";"−03:00"
"RU";"Europe/Samara";"Samara";"+04:00"
"UZ";"Asia/Samarkand";"Samarkand";"+05:00"
"AS";"Pacific/Samoa";"Samoa";"−11:00"
"AS";"US/Samoa";"Samoa";"−11:00"
"AR";"America/Argentina/San_Juan";"San_Juan";"−03:00"
"AR";"America/Argentina/San_Luis";"San_Luis";"−03:00"
"SM";"Europe/San_Marino";"San_Marino";"+01:00"
"BR";"America/Sao_Paulo";"Santa Catarina";"−03:00"
"MX";"America/Santa_Isabel";"Santa_Isabel";"−08:00"
"CL";"America/Santiago";"Santiago";"−04:00"
"DO";"America/Santo_Domingo";"Santo_Domingo";"−04:00"
"BR";"America/Sao_Paulo";"São Paulo";"−03:00"
"ST";"Africa/Sao_Tome";"Sao_Tome";"+00:00"
"RU";"Europe/Saratov";"Saratov";"+04:00"
"CA";"Canada/Saskatchewan";"Saskatchewan";"−06:00"
"GL";"America/Scoresbysund";"Scoresbysund";"−01:00"
"KR";"Asia/Seoul";"Seoul";"+09:00"
"BR";"America/Sao_Paulo";"Sergipe";"−03:00"
"CN";"Asia/Shanghai";"Shanghai";"+08:00"
"US";"America/Shiprock";"Shiprock";"−07:00"
"RU, UA";"Europe/Simferopol";"Simferopol";"+03:00"
"SG, MY";"Asia/Singapore";"Singapore";"+08:00"
"SG";"Singapore";"Singapore";"+08:00"
"US";"America/Sitka";"Sitka";"−09:00"
"BG";"Europe/Sofia";"Sofia";"+02:00"
"AU";"Australia/South";"South";"+09:30"
"GS";"Atlantic/South_Georgia";"South_Georgia";"−02:00"
"AQ";"Antarctica/South_Pole";"South_Pole";"+12:00"
"RU";"Asia/Srednekolymsk";"Srednekolymsk";"+11:00"
"BL";"America/St_Barthelemy";"St_Barthelemy";"−04:00"
"CA";"America/St_Johns";"St_Johns";"−03:30"
"FK";"Atlantic/Stanley";"Stanley";"−03:00"
"CA";"America/Swift_Current";"Swift_Current";"−06:00"
"AU";"Australia/Sydney";"Sydney";"+10:00"
"PF";"Pacific/Tahiti";"Tahiti";"−10:00"
"TW";"Asia/Taipei";"Taipei";"+08:00"
"EE";"Europe/Tallinn";"Tallinn";"+02:00"
"KI, MH, TV, UM, WF";"Pacific/Tarawa";"Tarawa";"+12:00"
"UZ";"Asia/Tashkent";"Tashkent";"+05:00"
"AU";"Australia/Tasmania";"Tasmania";"+10:00"
"GE";"Asia/Tbilisi";"Tbilisi";"+04:00"
"HN";"America/Tegucigalpa";"Tegucigalpa";"−06:00"
"IR";"Asia/Tehran";"Tehran";"+03:30"
"US";"America/Indiana/Tell_City";"Tell_City";"−06:00"
"BT";"Asia/Thimbu";"Thimbu";"+06:00"
"BT";"Asia/Thimphu";"Thimphu";"+06:00"
"GL";"America/Thule";"Thule";"−04:00"
"MX";"America/Tijuana";"Tijuana";"−08:00"
"AL";"Europe/Tirane";"Tirane";"+01:00"
"BR";"America/Sao_Paulo";"Tocantins";"−03:00"
"JP";"Asia/Tokyo";"Tokyo";"+09:00"
"RU";"Asia/Tomsk";"Tomsk";"+07:00"
"TO";"Pacific/Tongatapu";"Tongatapu";"+13:00"
"CA, BS";"America/Toronto";"Toronto";"−05:00"
"LY";"Africa/Tripoli";"Tripoli";"+02:00"
"AQ";"Antarctica/Troll";"Troll";"+00:00"
"FM";"Pacific/Truk";"Truk";"+10:00"
"AR";"America/Argentina/Tucuman";"Tucuman";"−03:00"
"TN";"Africa/Tunis";"Tunis";"+01:00"
"TR";"Turkey";"Turkey";"+03:00"
"ID";"Asia/Ujung_Pandang";"Ujung_Pandang";"+08:00"
"MN";"Asia/Ulaanbaatar";"Ulaanbaatar";"+08:00"
"MN";"Asia/Ulan_Bator";"Ulan_Bator";"+08:00"
"RU";"Europe/Ulyanovsk";"Ulyanovsk";"+04:00"
"CN, AQ";"Asia/Urumqi";"Urumqi";"+06:00"
"AR";"America/Argentina/Ushuaia";"Ushuaia";"−03:00"
"RU";"Asia/Ust-Nera";"Ust-Nera";"+10:00"
"CA";"America/Vancouver";"Vancouver";"−08:00"
"VA";"Europe/Vatican";"Vatican";"+01:00"
"US";"America/Indiana/Vevay";"Vevay";"−05:00"
"AU";"Australia/Victoria";"Victoria";"+10:00"
"AT";"Europe/Vienna";"Vienna";"+01:00"
"LT";"Europe/Vilnius";"Vilnius";"+02:00"
"US";"America/Indiana/Vincennes";"Vincennes";"−05:00"
"VI";"America/Virgin";"Virgin";"−04:00"
"RU";"Asia/Vladivostok";"Vladivostok";"+10:00"
"RU";"Europe/Volgograd";"Volgograd";"+03:00"
"RU";"W-SU";"W-SU";"+03:00"
"PL";"Europe/Warsaw";"Warsaw";"+01:00"
"AU";"Australia/West";"West";"+08:00"
"CA";"America/Whitehorse";"Whitehorse";"−07:00"
"US";"America/Indiana/Winamac";"Winamac";"−05:00"
"NA";"Africa/Windhoek";"Windhoek";"+02:00"
"CA";"America/Winnipeg";"Winnipeg";"−06:00"
"US";"America/Yakutat";"Yakutat";"−09:00"
"RU";"Asia/Yakutsk";"Yakutsk";"+09:00"
"AU";"Australia/Yancowinna";"Yancowinna";"+09:30"
"MM, CC";"Asia/Yangon";"Yangon";"+06:30"
"FM";"Pacific/Yap";"Yap";"+10:00"
"RU";"Asia/Yekaterinburg";"Yekaterinburg";"+05:00"
"AM";"Asia/Yerevan";"Yerevan";"+04:00"
"CA";"Canada/Yukon";"Yukon";"−07:00"
"CH, DE, LI";"Europe/Zurich";"Zurich";"+01:00"
